Nombre de photos,Nombre de carres,Low Tresh,High Tresh,Sigma Color,Sigma Space,Pourcentage de carres
404,320,50,175,60,145,79.20792079207921
404,333,50,150,60,145,82.42574257425743
404,359,50,125,60,145,88.86138613861387
404,392,50,100,60,145,97.02970297029702
404,288,60,255,60,145,71.28712871287128
404,291,60,240,60,145,72.02970297029702
404,293,60,230,60,145,72.52475247524752
404,296,60,220,60,145,73.26732673267327
404,317,60,175,60,145,78.46534653465346
404,331,60,150,60,145,81.93069306930693
404,358,60,125,60,145,88.61386138613861
404,399,60,100,60,145,98.76237623762376
404,298,70,255,60,145,73.76237623762376
404,303,70,240,60,145,75.0
404,304,70,230,60,145,75.24752475247524
404,308,70,220,60,145,76.23762376237624
404,329,70,175,60,145,81.43564356435643
404,347,70,150,60,145,85.89108910891089
404,383,70,125,60,145,94.80198019801979
404,442,70,100,60,145,109.40594059405942
404,255,0,255,60,130,63.11881188118812
404,257,0,240,60,130,63.613861386138616
404,258,0,230,60,130,63.86138613861386
404,263,0,220,60,130,65.0990099009901
404,281,0,175,60,130,69.55445544554455
404,295,0,150,60,130,73.01980198019803
404,319,0,125,60,130,78.96039603960396
404,354,0,100,60,130,87.62376237623762
404,256,10,255,60,130,63.366336633663366
404,258,10,240,60,130,63.86138613861386
404,259,10,230,60,130,64.10891089108911
404,264,10,220,60,130,65.34653465346535
404,283,10,175,60,130,70.04950495049505
404,297,10,150,60,130,73.51485148514851
404,322,10,125,60,130,79.70297029702971
404,357,10,100,60,130,88.36633663366337
404,260,20,255,60,130,64.35643564356435
404,262,20,240,60,130,64.85148514851485
404,263,20,230,60,130,65.0990099009901
404,268,20,220,60,130,66.33663366336634
404,285,20,175,60,130,70.54455445544554
404,300,20,150,60,130,74.25742574257426
404,326,20,125,60,130,80.6930693069307
404,362,20,100,60,130,89.60396039603961
404,261,30,255,60,130,64.60396039603961
404,263,30,240,60,130,65.0990099009901
404,264,30,230,60,130,65.34653465346535
404,269,30,220,60,130,66.58415841584159
404,287,30,175,60,130,71.03960396039604
404,300,30,150,60,130,74.25742574257426
404,325,30,125,60,130,80.44554455445545
404,360,30,100,60,130,89.10891089108911
404,272,40,255,60,130,67.32673267326733
404,275,40,240,60,130,68.06930693069307
404,277,40,230,60,130,68.56435643564357
404,281,40,220,60,130,69.55445544554455
404,300,40,175,60,130,74.25742574257426
404,312,40,150,60,130,77.22772277227723
404,338,40,125,60,130,83.66336633663366
404,372,40,100,60,130,92.07920792079209
404,288,50,255,60,130,71.28712871287128
404,293,50,240,60,130,72.52475247524752
404,295,50,230,60,130,73.01980198019803
404,299,50,220,60,130,74.00990099009901
404,320,50,175,60,130,79.20792079207921
404,333,50,150,60,130,82.42574257425743
404,359,50,125,60,130,88.86138613861387
404,392,50,100,60,130,97.02970297029702
404,288,60,255,60,130,71.28712871287128
404,291,60,240,60,130,72.02970297029702
404,293,60,230,60,130,72.52475247524752
404,296,60,220,60,130,73.26732673267327
404,317,60,175,60,130,78.46534653465346
404,331,60,150,60,130,81.93069306930693
404,358,60,125,60,130,88.61386138613861
404,399,60,100,60,130,98.76237623762376
404,298,70,255,60,130,73.76237623762376
404,303,70,240,60,130,75.0
404,304,70,230,60,130,75.24752475247524
404,308,70,220,60,130,76.23762376237624
404,329,70,175,60,130,81.43564356435643
404,347,70,150,60,130,85.89108910891089
404,383,70,125,60,130,94.80198019801979
404,442,70,100,60,130,109.40594059405942
404,257,0,255,60,100,63.613861386138616
404,259,0,240,60,100,64.10891089108911
404,260,0,230,60,100,64.35643564356435
404,265,0,220,60,100,65.5940594059406
404,283,0,175,60,100,70.04950495049505
404,298,0,150,60,100,73.76237623762376
404,322,0,125,60,100,79.70297029702971
404,357,0,100,60,100,88.36633663366337
404,258,10,255,60,100,63.86138613861386
404,260,10,240,60,100,64.35643564356435
404,261,10,230,60,100,64.60396039603961
404,266,10,220,60,100,65.84158415841584
404,285,10,175,60,100,70.54455445544554
404,300,10,150,60,100,74.25742574257426
404,325,10,125,60,100,80.44554455445545
404,360,10,100,60,100,89.10891089108911
404,261,20,255,60,100,64.60396039603961
404,263,20,240,60,100,65.0990099009901
404,264,20,230,60,100,65.34653465346535
404,269,20,220,60,100,66.58415841584159
404,286,20,175,60,100,70.79207920792079
404,302,20,150,60,100,74.75247524752476
404,328,20,125,60,100,81.1881188118812
404,365,20,100,60,100,90.34653465346535
404,262,30,255,60,100,64.85148514851485
404,264,30,240,60,100,65.34653465346535
404,265,30,230,60,100,65.5940594059406
404,270,30,220,60,100,66.83168316831683
404,288,30,175,60,100,71.28712871287128
404,301,30,150,60,100,74.5049504950495
404,326,30,125,60,100,80.6930693069307
404,361,30,100,60,100,89.35643564356435
404,273,40,255,60,100,67.57425742574257
404,276,40,240,60,100,68.31683168316832
404,278,40,230,60,100,68.8118811881188
404,282,40,220,60,100,69.80198019801979
404,301,40,175,60,100,74.5049504950495
404,313,40,150,60,100,77.47524752475248
404,339,40,125,60,100,83.9108910891089
404,373,40,100,60,100,92.32673267326733
404,289,50,255,60,100,71.53465346534654
404,294,50,240,60,100,72.77227722772277
404,296,50,230,60,100,73.26732673267327
404,300,50,220,60,100,74.25742574257426
404,321,50,175,60,100,79.45544554455446
404,334,50,150,60,100,82.67326732673267
404,360,50,125,60,100,89.10891089108911
404,393,50,100,60,100,97.27722772277228
404,289,60,255,60,100,71.53465346534654
404,292,60,240,60,100,72.27722772277228
404,294,60,230,60,100,72.77227722772277
404,297,60,220,60,100,73.51485148514851
404,318,60,175,60,100,78.71287128712872
404,332,60,150,60,100,82.17821782178217
404,359,60,125,60,100,88.86138613861387
404,400,60,100,60,100,99.00990099009901
404,299,70,255,60,100,74.00990099009901
404,304,70,240,60,100,75.24752475247524
404,305,70,230,60,100,75.4950495049505
404,309,70,220,60,100,76.48514851485149
404,330,70,175,60,100,81.68316831683168
404,348,70,150,60,100,86.13861386138613
404,384,70,125,60,100,95.04950495049505
404,443,70,100,60,100,109.65346534653466
404,242,0,255,70,75,59.900990099009896
404,244,0,240,70,75,60.396039603960396
404,245,0,230,70,75,60.64356435643564
404,248,0,220,70,75,61.386138613861384
404,266,0,175,70,75,65.84158415841584
404,280,0,150,70,75,69.3069306930693
404,299,0,125,70,75,74.00990099009901
404,349,0,100,70,75,86.38613861386139
404,243,10,255,70,75,60.148514851485146
404,245,10,240,70,75,60.64356435643564
404,246,10,230,70,75,60.89108910891089
404,249,10,220,70,75,61.633663366336634
404,267,10,175,70,75,66.0891089108911
404,281,10,150,70,75,69.55445544554455
404,300,10,125,70,75,74.25742574257426
404,350,10,100,70,75,86.63366336633663
404,243,20,255,70,75,60.148514851485146
404,245,20,240,70,75,60.64356435643564
404,246,20,230,70,75,60.89108910891089
404,249,20,220,70,75,61.633663366336634
404,267,20,175,70,75,66.0891089108911
404,279,20,150,70,75,69.05940594059405
404,300,20,125,70,75,74.25742574257426
404,349,20,100,70,75,86.38613861386139
404,247,30,255,70,75,61.13861386138614
404,250,30,240,70,75,61.88118811881188
404,251,30,230,70,75,62.12871287128713
404,255,30,220,70,75,63.11881188118812
404,272,30,175,70,75,67.32673267326733
404,286,30,150,70,75,70.79207920792079
404,307,30,125,70,75,75.99009900990099
404,356,30,100,70,75,88.11881188118812
404,253,40,255,70,75,62.62376237623762
404,256,40,240,70,75,63.366336633663366
404,257,40,230,70,75,63.613861386138616
404,263,40,220,70,75,65.0990099009901
404,285,40,175,70,75,70.54455445544554
404,295,40,150,70,75,73.01980198019803
404,316,40,125,70,75,78.21782178217822
404,363,40,100,70,75,89.85148514851485
404,264,50,255,70,75,65.34653465346535
404,266,50,240,70,75,65.84158415841584
404,267,50,230,70,75,66.0891089108911
404,273,50,220,70,75,67.57425742574257
404,291,50,175,70,75,72.02970297029702
404,303,50,150,70,75,75.0
404,324,50,125,70,75,80.19801980198021
404,372,50,100,70,75,92.07920792079209
404,275,60,255,70,75,68.06930693069307
404,278,60,240,70,75,68.8118811881188
404,280,60,230,70,75,69.3069306930693
404,287,60,220,70,75,71.03960396039604
404,305,60,175,70,75,75.4950495049505
404,316,60,150,70,75,78.21782178217822
404,346,60,125,70,75,85.64356435643565
404,405,60,100,70,75,100.24752475247524
404,270,70,255,70,75,66.83168316831683
404,274,70,240,70,75,67.82178217821783
404,274,70,230,70,75,67.82178217821783
404,279,70,220,70,75,69.05940594059405
404,294,70,175,70,75,72.77227722772277
404,306,70,150,70,75,75.74257425742574
404,331,70,125,70,75,81.93069306930693
404,409,70,100,70,75,101.23762376237624
404,244,0,255,70,60,60.396039603960396
404,246,0,240,70,60,60.89108910891089
404,247,0,230,70,60,61.13861386138614
404,250,0,220,70,60,61.88118811881188
404,267,0,175,70,60,66.0891089108911
404,281,0,150,70,60,69.55445544554455
404,301,0,125,70,60,74.5049504950495
404,346,0,100,70,60,85.64356435643565
404,245,10,255,70,60,60.64356435643564
404,247,10,240,70,60,61.13861386138614
404,248,10,230,70,60,61.386138613861384
404,251,10,220,70,60,62.12871287128713
404,268,10,175,70,60,66.33663366336634
404,282,10,150,70,60,69.80198019801979
404,302,10,125,70,60,74.75247524752476
404,347,10,100,70,60,85.89108910891089
404,245,20,255,70,60,60.64356435643564
404,247,20,240,70,60,61.13861386138614
404,248,20,230,70,60,61.386138613861384
404,251,20,220,70,60,62.12871287128713
404,269,20,175,70,60,66.58415841584159
404,281,20,150,70,60,69.55445544554455
404,303,20,125,70,60,75.0
404,347,20,100,70,60,85.89108910891089
404,247,30,255,70,60,61.13861386138614
404,250,30,240,70,60,61.88118811881188
404,251,30,230,70,60,62.12871287128713
404,255,30,220,70,60,63.11881188118812
404,272,30,175,70,60,67.32673267326733
404,286,30,150,70,60,70.79207920792079
404,308,30,125,70,60,76.23762376237624
404,353,30,100,70,60,87.37623762376238
404,253,40,255,70,60,62.62376237623762
404,256,40,240,70,60,63.366336633663366
404,257,40,230,70,60,63.613861386138616
404,263,40,220,70,60,65.0990099009901
404,285,40,175,70,60,70.54455445544554
404,295,40,150,70,60,73.01980198019803
404,316,40,125,70,60,78.21782178217822
404,359,40,100,70,60,88.86138613861387
404,264,50,255,70,60,65.34653465346535
404,266,50,240,70,60,65.84158415841584
404,267,50,230,70,60,66.0891089108911
404,273,50,220,70,60,67.57425742574257
404,291,50,175,70,60,72.02970297029702
404,303,50,150,70,60,75.0
404,324,50,125,70,60,80.19801980198021
404,369,50,100,70,60,91.33663366336634
404,275,60,255,70,60,68.06930693069307
404,278,60,240,70,60,68.8118811881188
404,280,60,230,70,60,69.3069306930693
404,287,60,220,70,60,71.03960396039604
404,305,60,175,70,60,75.4950495049505
404,316,60,150,70,60,78.21782178217822
404,346,60,125,70,60,85.64356435643565
404,402,60,100,70,60,99.5049504950495
404,270,70,255,70,60,66.83168316831683
404,274,70,240,70,60,67.82178217821783
404,274,70,230,70,60,67.82178217821783
404,279,70,220,70,60,69.05940594059405
404,294,70,175,70,60,72.77227722772277
404,306,70,150,70,60,75.74257425742574
404,332,70,125,70,60,82.17821782178217
404,408,70,100,70,60,100.99009900990099
404,241,0,255,70,145,59.65346534653465
404,243,0,240,70,145,60.148514851485146
404,244,0,230,70,145,60.396039603960396
404,247,0,220,70,145,61.13861386138614
404,266,0,175,70,145,65.84158415841584
404,278,0,150,70,145,68.8118811881188
404,297,0,125,70,145,73.51485148514851
404,346,0,100,70,145,85.64356435643565
404,242,10,255,70,145,59.900990099009896
404,244,10,240,70,145,60.396039603960396
404,245,10,230,70,145,60.64356435643564
404,248,10,220,70,145,61.386138613861384
404,267,10,175,70,145,66.0891089108911
404,279,10,150,70,145,69.05940594059405
404,298,10,125,70,145,73.76237623762376
404,347,10,100,70,145,85.89108910891089
404,242,20,255,70,145,59.900990099009896
404,244,20,240,70,145,60.396039603960396
404,245,20,230,70,145,60.64356435643564
404,248,20,220,70,145,61.386138613861384
404,267,20,175,70,145,66.0891089108911
404,279,20,150,70,145,69.05940594059405
404,300,20,125,70,145,74.25742574257426
404,348,20,100,70,145,86.13861386138613
404,245,30,255,70,145,60.64356435643564
404,248,30,240,70,145,61.386138613861384
404,249,30,230,70,145,61.633663366336634
404,253,30,220,70,145,62.62376237623762
404,271,30,175,70,145,67.07920792079209
404,285,30,150,70,145,70.54455445544554
404,306,30,125,70,145,75.74257425742574
404,354,30,100,70,145,87.62376237623762
404,251,40,255,70,145,62.12871287128713
404,254,40,240,70,145,62.87128712871287
404,255,40,230,70,145,63.11881188118812
404,260,40,220,70,145,64.35643564356435
404,283,40,175,70,145,70.04950495049505
404,293,40,150,70,145,72.52475247524752
404,314,40,125,70,145,77.72277227722772
404,361,40,100,70,145,89.35643564356435
404,262,50,255,70,145,64.85148514851485
404,264,50,240,70,145,65.34653465346535
404,265,50,230,70,145,65.5940594059406
404,271,50,220,70,145,67.07920792079209
404,288,50,175,70,145,71.28712871287128
404,300,50,150,70,145,74.25742574257426
404,320,50,125,70,145,79.20792079207921
404,371,50,100,70,145,91.83168316831683
404,274,60,255,70,145,67.82178217821783
404,277,60,240,70,145,68.56435643564357
404,279,60,230,70,145,69.05940594059405
404,286,60,220,70,145,70.79207920792079
404,304,60,175,70,145,75.24752475247524
404,316,60,150,70,145,78.21782178217822
404,344,60,125,70,145,85.14851485148515
404,406,60,100,70,145,100.4950495049505
404,269,70,255,70,145,66.58415841584159
404,273,70,240,70,145,67.57425742574257
404,273,70,230,70,145,67.57425742574257
404,278,70,220,70,145,68.8118811881188
404,293,70,175,70,145,72.52475247524752
404,306,70,150,70,145,75.74257425742574
404,330,70,125,70,145,81.68316831683168
404,407,70,100,70,145,100.74257425742574
404,241,0,255,70,130,59.65346534653465
404,243,0,240,70,130,60.148514851485146
404,244,0,230,70,130,60.396039603960396
404,247,0,220,70,130,61.13861386138614
404,266,0,175,70,130,65.84158415841584
404,278,0,150,70,130,68.8118811881188
404,297,0,125,70,130,73.51485148514851
404,346,0,100,70,130,85.64356435643565
404,242,10,255,70,130,59.900990099009896
404,244,10,240,70,130,60.396039603960396
404,245,10,230,70,130,60.64356435643564
404,248,10,220,70,130,61.386138613861384
404,267,10,175,70,130,66.0891089108911
404,279,10,150,70,130,69.05940594059405
404,298,10,125,70,130,73.76237623762376
404,347,10,100,70,130,85.89108910891089
404,242,20,255,70,130,59.900990099009896
404,244,20,240,70,130,60.396039603960396
404,245,20,230,70,130,60.64356435643564
404,248,20,220,70,130,61.386138613861384
404,267,20,175,70,130,66.0891089108911
404,279,20,150,70,130,69.05940594059405
404,300,20,125,70,130,74.25742574257426
404,348,20,100,70,130,86.13861386138613
404,246,30,255,70,130,60.89108910891089
404,249,30,240,70,130,61.633663366336634
404,250,30,230,70,130,61.88118811881188
404,254,30,220,70,130,62.87128712871287
404,272,30,175,70,130,67.32673267326733
404,286,30,150,70,130,70.79207920792079
404,307,30,125,70,130,75.99009900990099
404,355,30,100,70,130,87.87128712871286
404,252,40,255,70,130,62.37623762376238
404,255,40,240,70,130,63.11881188118812
404,256,40,230,70,130,63.366336633663366
404,261,40,220,70,130,64.60396039603961
404,284,40,175,70,130,70.29702970297029
404,294,40,150,70,130,72.77227722772277
404,315,40,125,70,130,77.97029702970298
404,362,40,100,70,130,89.60396039603961
404,263,50,255,70,130,65.0990099009901
404,265,50,240,70,130,65.5940594059406
404,266,50,230,70,130,65.84158415841584
404,272,50,220,70,130,67.32673267326733
404,289,50,175,70,130,71.53465346534654
404,301,50,150,70,130,74.5049504950495
404,321,50,125,70,130,79.45544554455446
404,372,50,100,70,130,92.07920792079209
404,275,60,255,70,130,68.06930693069307
404,278,60,240,70,130,68.8118811881188
404,280,60,230,70,130,69.3069306930693
404,287,60,220,70,130,71.03960396039604
404,305,60,175,70,130,75.4950495049505
404,317,60,150,70,130,78.46534653465346
404,345,60,125,70,130,85.39603960396039
404,407,60,100,70,130,100.74257425742574
404,270,70,255,70,130,66.83168316831683
404,274,70,240,70,130,67.82178217821783
404,274,70,230,70,130,67.82178217821783
404,279,70,220,70,130,69.05940594059405
404,294,70,175,70,130,72.77227722772277
404,307,70,150,70,130,75.99009900990099
404,331,70,125,70,130,81.93069306930693
404,408,70,100,70,130,100.99009900990099
404,241,0,255,70,100,59.65346534653465
404,243,0,240,70,100,60.148514851485146
404,244,0,230,70,100,60.396039603960396
404,247,0,220,70,100,61.13861386138614
404,266,0,175,70,100,65.84158415841584
404,279,0,150,70,100,69.05940594059405
404,298,0,125,70,100,73.76237623762376
404,348,0,100,70,100,86.13861386138613
404,242,10,255,70,100,59.900990099009896
404,244,10,240,70,100,60.396039603960396
404,245,10,230,70,100,60.64356435643564
404,248,10,220,70,100,61.386138613861384
404,267,10,175,70,100,66.0891089108911
404,280,10,150,70,100,69.3069306930693
404,299,10,125,70,100,74.00990099009901
404,349,10,100,70,100,86.38613861386139
404,242,20,255,70,100,59.900990099009896
404,244,20,240,70,100,60.396039603960396
404,245,20,230,70,100,60.64356435643564
404,248,20,220,70,100,61.386138613861384
404,267,20,175,70,100,66.0891089108911
404,280,20,150,70,100,69.3069306930693
404,301,20,125,70,100,74.5049504950495
404,350,20,100,70,100,86.63366336633663
404,246,30,255,70,100,60.89108910891089
404,249,30,240,70,100,61.633663366336634
404,250,30,230,70,100,61.88118811881188
404,254,30,220,70,100,62.87128712871287
404,272,30,175,70,100,67.32673267326733
404,287,30,150,70,100,71.03960396039604
404,308,30,125,70,100,76.23762376237624
404,357,30,100,70,100,88.36633663366337
404,252,40,255,70,100,62.37623762376238
404,255,40,240,70,100,63.11881188118812
404,256,40,230,70,100,63.366336633663366
404,262,40,220,70,100,64.85148514851485
404,285,40,175,70,100,70.54455445544554
404,296,40,150,70,100,73.26732673267327
404,317,40,125,70,100,78.46534653465346
404,364,40,100,70,100,90.0990099009901
404,263,50,255,70,100,65.0990099009901
404,265,50,240,70,100,65.5940594059406
404,266,50,230,70,100,65.84158415841584
404,272,50,220,70,100,67.32673267326733
404,289,50,175,70,100,71.53465346534654
404,302,50,150,70,100,74.75247524752476
404,322,50,125,70,100,79.70297029702971
404,371,50,100,70,100,91.83168316831683
404,274,60,255,70,100,67.82178217821783
404,277,60,240,70,100,68.56435643564357
404,279,60,230,70,100,69.05940594059405
404,286,60,220,70,100,70.79207920792079
404,304,60,175,70,100,75.24752475247524
404,316,60,150,70,100,78.21782178217822
404,344,60,125,70,100,85.14851485148515
404,405,60,100,70,100,100.24752475247524
404,270,70,255,70,100,66.83168316831683
404,274,70,240,70,100,67.82178217821783
404,274,70,230,70,100,67.82178217821783
404,279,70,220,70,100,69.05940594059405
404,294,70,175,70,100,72.77227722772277
404,307,70,150,70,100,75.99009900990099
404,331,70,125,70,100,81.93069306930693
404,409,70,100,70,100,101.23762376237624
404,250,0,255,80,75,61.88118811881188
404,255,0,240,80,75,63.11881188118812
404,260,0,230,80,75,64.35643564356435
404,265,0,220,80,75,65.5940594059406
404,282,0,175,80,75,69.80198019801979
404,296,0,150,80,75,73.26732673267327
404,316,0,125,80,75,78.21782178217822
404,350,0,100,80,75,86.63366336633663
404,250,10,255,80,75,61.88118811881188
404,255,10,240,80,75,63.11881188118812
404,260,10,230,80,75,64.35643564356435
404,265,10,220,80,75,65.5940594059406
404,283,10,175,80,75,70.04950495049505
404,298,10,150,80,75,73.76237623762376
404,319,10,125,80,75,78.96039603960396
404,352,10,100,80,75,87.12871287128714
404,251,20,255,80,75,62.12871287128713
404,256,20,240,80,75,63.366336633663366
404,262,20,230,80,75,64.85148514851485
404,267,20,220,80,75,66.0891089108911
404,289,20,175,80,75,71.53465346534654
404,303,20,150,80,75,75.0
404,324,20,125,80,75,80.19801980198021
404,358,20,100,80,75,88.61386138613861
404,253,30,255,80,75,62.62376237623762
404,259,30,240,80,75,64.10891089108911
404,265,30,230,80,75,65.5940594059406
404,269,30,220,80,75,66.58415841584159
404,293,30,175,80,75,72.52475247524752
404,309,30,150,80,75,76.48514851485149
404,329,30,125,80,75,81.43564356435643
404,367,30,100,80,75,90.84158415841584
404,254,40,255,80,75,62.87128712871287
404,262,40,240,80,75,64.85148514851485
404,266,40,230,80,75,65.84158415841584
404,270,40,220,80,75,66.83168316831683
404,292,40,175,80,75,72.27722772277228
404,305,40,150,80,75,75.4950495049505
404,327,40,125,80,75,80.94059405940595
404,361,40,100,80,75,89.35643564356435
404,258,50,255,80,75,63.86138613861386
404,266,50,240,80,75,65.84158415841584
404,272,50,230,80,75,67.32673267326733
404,275,50,220,80,75,68.06930693069307
404,301,50,175,80,75,74.5049504950495
404,316,50,150,80,75,78.21782178217822
404,341,50,125,80,75,84.4059405940594
404,374,50,100,80,75,92.57425742574257
404,262,60,255,80,75,64.85148514851485
404,269,60,240,80,75,66.58415841584159
404,274,60,230,80,75,67.82178217821783
404,277,60,220,80,75,68.56435643564357
404,299,60,175,80,75,74.00990099009901
